Song,Artist,First_Week
Teardrops on My Guitar - International Mix,Taylor Swift,2023-01-06
Apple,GFRIEND,2023-01-06
Congratulations,DAY6,2023-01-06
Celebrate,TWICE,2023-01-06
너 아님 안돼,2NE1,2023-01-06
Next Level,aespa,2023-01-06
Run Devil Run,Girls' Generation,2023-01-06
All Night,Astro,2023-01-06
Touch,miss A,2023-01-06
BBoom BBoom,MOMOLAND,2023-01-06
WILD,Troye Sivan,2023-01-06
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,2023-01-06
With You,Red Velvet,2023-01-06
Happily Ever After,Red Velvet,2023-01-06
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,2023-01-06
hot mess,dodie,2023-01-13
Got Weird,dodie,2023-01-13
Lonely Bones,dodie,2023-01-13
No Big Deal (I Love You),dodie,2023-01-13
Alapaap,Eraserheads,2023-01-13
Simpleng Tao,Gloc-9,2023-01-13
Nonsense,Sabrina Carpenter,2023-01-13
emails i can’t send,Sabrina Carpenter,2023-01-13
Huwag Kang Matakot,Eraserheads,2023-01-13
Pare Ko,Eraserheads,2023-01-13
Flowers,Miley Cyrus,2023-01-13
decode,Sabrina Carpenter,2023-01-13
Bad for Business,Sabrina Carpenter,2023-01-13
skinny dipping,Sabrina Carpenter,2023-01-13
Fast Times,Sabrina Carpenter,2023-01-13
bet u wanna,Sabrina Carpenter,2023-01-13
how many things,Sabrina Carpenter,2023-01-13
Already Over,Sabrina Carpenter,2023-01-13
Tornado Warnings,Sabrina Carpenter,2023-01-13
Read your Mind,Sabrina Carpenter,2023-01-13
Vicious,Sabrina Carpenter,2023-01-13
Babe,Sugarland,2023-01-13
Kung Wala Ka,Hale,2023-01-13
Upside Down,6CycleMind,2023-01-13
Her,Megan Thee Stallion,2023-01-20
RUN2U,STAYC,2023-01-20
28 Reasons,SEULGI,2023-01-27
MOONLIGHT SUNRISE,TWICE,2023-01-27
SMILEY(Feat. BIBI),Yena,2023-01-27
SAPPY,Red Velvet,2023-01-27
Bad Dracula,Red Velvet,2023-01-27
INVU,TAEYEON,2023-01-27
Nothing Else Matters,Little Mix,2023-02-03
04 - ‘tis the damn season,Taylor Swift,2023-02-10
Adrenaline,CRAVITY,2023-02-10
Bumalik Ka Na Sa'kin,Silent Sanctuary,2023-02-17
Voices of Delight,TWICE,2023-02-17
This Guy's In Love With You Pare,Parokya Ni Edgar,2023-02-17
Ikaw Lang Ang Aking Mahal,Brownman Revival,2023-02-17
Magbalik,Callalily,2023-02-17
Kilometro,Sarah Geronimo,2023-02-17
Cate’s Brother,Maisie Peters,2023-02-24
Good Enough,Maisie Peters,2023-02-24
Body Better,Maisie Peters,2023-02-24
Difficult,Gracie Abrams,2023-02-24
Best,Gracie Abrams,2023-02-24
Birthday,Katy Perry,2023-02-24
BIRTHDAY,JEON SOMI,2023-02-24
Right Now,Gracie Abrams,2023-02-24
The Blue,Gracie Abrams,2023-02-24
Fault Line,Gracie Abrams,2023-02-24
This Is What The Drugs Are For,Gracie Abrams,2023-02-24
Amelie,Gracie Abrams,2023-02-24
Will you cry?,Gracie Abrams,2023-02-24
I should hate you,Gracie Abrams,2023-02-24
Where do we go now?,Gracie Abrams,2023-02-24
Full machine,Gracie Abrams,2023-02-24
I know it won't work,Gracie Abrams,2023-02-24
Cate’s Brother - Matt's Version,Maisie Peters,2023-03-03
minor,Gracie Abrams,2023-03-03
Long Sleeves,Gracie Abrams,2023-03-03
I miss you I’m sorry,Gracie Abrams,2023-03-03
tehe,Gracie Abrams,2023-03-03
Under / Over,Gracie Abrams,2023-03-03
21,Gracie Abrams,2023-03-03
Friend,Gracie Abrams,2023-03-03
Cate’s Brother - BRELAND's Version,Maisie Peters,2023-03-03
Hollow,Maisie Peters,2023-03-10
SET ME FREE (ENG),TWICE,2023-03-10
CRAZY STUPID LOVE,TWICE,2023-03-10
WALLFLOWER,TWICE,2023-03-10
BLAME IT ON ME,TWICE,2023-03-10
GOT THE THRILLS,TWICE,2023-03-10
SET ME FREE,TWICE,2023-03-10
Young Dumb Stupid,NMIXX,2023-03-17
If This Was a Movie (Taylor’s Version),Taylor Swift,2023-03-17
Safe & Sound (feat. Joy Williams and John Paul White) (Taylor’s Version),Taylor Swift,2023-03-17
Eyes Open (Taylor's Version),Taylor Swift,2023-03-17
All of the Girls You Loved Before,Taylor Swift,2023-03-17
Eyes Open,Taylor Swift,2023-03-17
My Gosh,NMIXX,2023-03-24
HOME,NMIXX,2023-03-24
Love Me Like This,NMIXX,2023-03-24
Just Did It,NMIXX,2023-03-24
PAXXWORD,NMIXX,2023-03-24
Kung Maging Akin Ka,Sugarcane,2023-03-24
Bahala Na,Kenaniah,2023-03-24
Kitsch,IVE,2023-03-31
M.P.L,Toni Fowler,2023-03-31
NYMPHOLOGY,Melanie Martinez,2023-03-31
SPIDER WEB,Melanie Martinez,2023-03-31
Countdown,Beyoncé,2023-03-31
Block me out,Gracie Abrams,2023-03-31
Lost the Breakup,Maisie Peters,2023-03-31
Boy's a liar Pt. 2,PinkPantheress,2023-04-07
WOMB,Melanie Martinez,2023-04-07
MOON CYCLE,Melanie Martinez,2023-04-07
THE CONTORTIONIST,Melanie Martinez,2023-04-07
LIGHT SHOWER,Melanie Martinez,2023-04-07
TUNNEL VISION,Melanie Martinez,2023-04-07
VOID,Melanie Martinez,2023-04-07
DEATH,Melanie Martinez,2023-04-07
Motion Sickness,Phoebe Bridgers,2023-04-07
Oh No!,Marina,2023-04-07
Renegade,Big Red Machine,2023-04-07
Beginning,C418,2023-04-14
Danny,C418,2023-04-14
Excuse,C418,2023-04-14
Chris,C418,2023-04-14
Clark,C418,2023-04-14
Dry Hands,C418,2023-04-14
Équinoxe,C418,2023-04-14
Oxygène,C418,2023-04-14
Living Mice,C418,2023-04-14
Death,C418,2023-04-14
Droopy Likes Ricochet,C418,2023-04-14
Thirteen,C418,2023-04-14
Shine With Me,IVE,2023-04-14
Cherish,IVE,2023-04-14
궁금해 (Next Page),IVE,2023-04-14
NOT YOUR GIRL,IVE,2023-04-14
섬찟 (Hypnosis),IVE,2023-04-14
Mine,IVE,2023-04-14
HEROINE,IVE,2023-04-14
Lips,IVE,2023-04-14
I AM,IVE,2023-04-14
Blue Blood,IVE,2023-04-14
Comforting Memories,Kumi Tanioka,2023-04-21
Floating Dream,Kumi Tanioka,2023-04-21
UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,2023-05-05
Fire in the belly,LE SSERAFIM,2023-05-05
Flash Forward,LE SSERAFIM,2023-05-05
FEARNOT (Between you me and the lamppost),LE SSERAFIM,2023-05-05
Eve Psyche & The Bluebeard’s wife,LE SSERAFIM,2023-05-05
No-Return (Into the unknown),LE SSERAFIM,2023-05-05
Burn the Bridge,LE SSERAFIM,2023-05-05
Yum-Yum,Yeo Jin,2023-05-05
Milkshake,Red Velvet,2023-05-12
Best Day of My Life,American Authors,2023-05-12
'Til We Meet Again,aespa,2023-05-19
I'm Unhappy,aespa,2023-05-19
Thirsty,aespa,2023-05-19
Salty & Sweet,aespa,2023-05-19
Spicy,aespa,2023-05-19
Welcome To MY World (feat. nævis),aespa,2023-05-19
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Beyoncé,2023-05-19
Snow on the Beach (feat. more Lana Del Rey),Taylor Swift,2023-05-26
Karma (feat. Ice Spice),Taylor Swift,2023-05-26
Hits Different,Taylor Swift,2023-05-26
Annie Batungbakal,Hotdog,2023-05-26
Malibu,Miley Cyrus,2023-05-26
Dimple,BTS,2023-05-26
Cupid,Fifty Fifty,2023-05-26
_WORLD,Seventeen,2023-05-26
Goblin,Sulli,2023-05-26
Boom Boom Pow,Black Eyed Peas,2023-06-02
All of Me,John Legend,2023-06-02
the bottom,Gracie Abrams,2023-06-02
Fallen,Lola Amour,2023-06-02
Ikaw Pa Rin,MRLD,2023-06-02
Kathang Isip,Ben&Ben,2023-06-02
Ligaya,MRLD,2023-06-02
Leaves,Ben&Ben,2023-06-02
Clouds,Any Name's Okay,2023-06-09
Our Lives,The Calling,2023-06-09
Long Live,Taylor Swift,2023-06-09
Jealous,Nick Jonas,2023-06-09
Yugto,Any Name's Okay,2023-06-09
Nothin' on You (feat. Bruno Mars),B.o.B,2023-06-09
Right Round (feat. Ke$ha),Flo Rida,2023-06-09
Candy Shop,50 Cent,2023-06-09
Burn,Ellie Goulding,2023-06-09
Imma Be,Black Eyed Peas,2023-06-09
Viva la Vida,Coldplay,2023-06-09
Marry You,Bruno Mars,2023-06-09
Young Wild & Free (feat. Bruno Mars),Snoop Dogg,2023-06-09
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,2023-06-09
Bring Me to Life,Evanescence,2023-06-09
Drag Me Down,One Direction,2023-06-09
Huling Sayaw,Kamikazee,2023-06-09
Ribs,Lorde,2023-06-16
Harana,Parokya Ni Edgar,2023-06-16
Triangulo,Nadine Lustre,2023-06-16
Hari Ng Tondo (Live),Gloc 9,2023-06-16
Kaleidoscope World,Parokya Ni Edgar,2023-06-16
Maybe The Night,Ben&Ben,2023-06-16
Mahika,Adie,2023-06-16
Kundiman,Silent Sanctuary,2023-06-16
Sabel - feat. KZ Tandingan,Ben&Ben,2023-06-16
Kyusi,zild,2023-06-16
Kill Bill,SZA,2023-06-16
Title,Meghan Trainor,2023-06-16
Talking to Yourself,Carly Rae Jepsen,2023-06-16
EVIL,Melanie Martinez,2023-06-16
Wishful Thinking,Gracie Abrams,2023-06-16
Pigstep (Stereo Mix),Lena Raine,2023-06-23
One More Day,Lena Raine,2023-06-23
A Thousand Miles,Vanessa Carlton,2023-06-23
Sa Ngalan Ng Pag-Ibig,December Avenue,2023-06-23
Estranghero,Cup of Joe,2023-06-23
Ngiti,Ronnie Liang,2023-06-23
Relic,Aaron Cherof,2023-06-23
Huwag Na Huwag Mong Sasabihin...,Kitchie Nadal,2023-06-30
The Story of Us (Taylor's Version),Taylor Swift,2023-07-07
Mine (Taylor's Version),Taylor Swift,2023-07-07
Innocent (Taylor's Version),Taylor Swift,2023-07-07
Back to December (Taylor's Version),Taylor Swift,2023-07-07
Better Than Revenge (Taylor's Version),Taylor Swift,2023-07-07
I Can See You (Taylor’s Version) (From the Vault),Taylor Swift,2023-07-07
When Emma Falls in Love (Taylor’s Version) (From the Vault),Taylor Swift,2023-07-07
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From the Vault),Taylor Swift,2023-07-07
Minsan,Eraserheads,2023-07-07
Timeless (Taylor’s Version) (From the Vault),Taylor Swift,2023-07-07
Foolish One (Taylor’s Version) (From the Vault),Taylor Swift,2023-07-07
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From the Vault),Taylor Swift,2023-07-07
Superman (Taylor’s Version),Taylor Swift,2023-07-07
Ours (Taylor’s Version),Taylor Swift,2023-07-07
Long Live (Taylor's Version),Taylor Swift,2023-07-07
Last Kiss (Taylor's Version),Taylor Swift,2023-07-07
Haunted (Taylor's Version),Taylor Swift,2023-07-07
Enchanted (Taylor's Version),Taylor Swift,2023-07-07
Never Grow Up (Taylor's Version),Taylor Swift,2023-07-07
Mean (Taylor's Version),Taylor Swift,2023-07-07
Dear John (Taylor's Version),Taylor Swift,2023-07-07
Speak Now (Taylor's Version),Taylor Swift,2023-07-07
Sparks Fly (Taylor’s Version),Taylor Swift,2023-07-07
Synesthesia,Mayonnaise,2023-07-07
Makita Kang Muli,Sugarfree,2023-07-07
Super Shy,NewJeans,2023-07-14
New Jeans,NewJeans,2023-07-14
You Wish,Flyana Boss,2023-07-14
Radio,Lana Del Rey,2023-07-14
Diet Mountain Dew,Lana Del Rey,2023-07-14
Feels Like,Gracie Abrams,2023-07-14
For Real This Time,Gracie Abrams,2023-07-14
My Secret Playlist,ODD EYE CIRCLE,2023-07-14
Love Me Like,ODD EYE CIRCLE,2023-07-14
Lucid,ODD EYE CIRCLE,2023-07-14
Je Ne Sais Quoi,ODD EYE CIRCLE,2023-07-14
Air Force One,ODD EYE CIRCLE,2023-07-14
Did You Wait?,ODD EYE CIRCLE,2023-07-14
Alright,Gracie Abrams,2023-07-14
Painkillers,Gracie Abrams,2023-07-14
Augusta,Gracie Abrams,2023-07-14
Hard to Sleep,Gracie Abrams,2023-07-14
Better,Gracie Abrams,2023-07-14
older,Gracie Abrams,2023-07-14
Camden,Gracie Abrams,2023-07-14
Rockland,Gracie Abrams,2023-07-14
History of Man,Maisie Peters,2023-07-14
There It Goes,Maisie Peters,2023-07-14
Therapy,Maisie Peters,2023-07-14
BSC,Maisie Peters,2023-07-14
Cool With You,NewJeans,2023-07-21
ASAP,NewJeans,2023-07-21
Get Up,NewJeans,2023-07-21
ETA,NewJeans,2023-07-21
Barbie World (with Aqua),Nicki Minaj,2023-07-21
Good Day,IU,2023-07-21
Spring Day,BTS,2023-07-21
I WANT,IVE,2023-07-21
Party O'Clock,NMIXX,2023-07-21
Strangers,Ethel Cain,2023-07-28
Sun Bleached Flies,Ethel Cain,2023-07-28
Televangelism,Ethel Cain,2023-07-28
August Underground,Ethel Cain,2023-07-28
Ptolemaea,Ethel Cain,2023-07-28
Gibson Girl,Ethel Cain,2023-07-28
Thoroughfare,Ethel Cain,2023-07-28
Hard Times,Ethel Cain,2023-07-28
Family Tree,Ethel Cain,2023-07-28
Western Nights,Ethel Cain,2023-07-28
A House in Nebraska,Ethel Cain,2023-07-28
American Teenager,Ethel Cain,2023-07-28
Family Tree (Intro),Ethel Cain,2023-07-28
Princess Diana (with Nicki Minaj),Ice Spice,2023-07-28
In Ha Mood,Ice Spice,2023-07-28
Deli,Ice Spice,2023-07-28
Lucky Ones,Lana Del Rey,2023-07-28
Lolita,Lana Del Rey,2023-07-28
Without You,Lana Del Rey,2023-07-28
This Is What Makes Us Girls,Lana Del Rey,2023-07-28
Million Dollar Man,Lana Del Rey,2023-07-28
Carmen,Lana Del Rey,2023-07-28
Good in Bed,Dua Lipa,2023-08-04
Pretty Please,Dua Lipa,2023-08-04
Future Nostalgia,Dua Lipa,2023-08-04
Boys Will Be Boys,Dua Lipa,2023-08-04
Cool,Dua Lipa,2023-08-04
Music Sounds Better With You,Stardust,2023-08-04
bad idea right?,Olivia Rodrigo,2023-08-11
Rush,Troye Sivan,2023-08-11
Bulong,December Avenue,2023-08-11
Hotel California - 2013 Remaster,Eagles,2023-08-11
Quítate La Ropa,La Cruz,2023-08-11
Join Us for a Bite (Remastered),JT Music,2023-08-11
Kahit Di Mo Alam,December Avenue,2023-08-11
Hindi Na Nga,This Band,2023-08-11
214,Rivermaya,2023-08-11
Love Moves In Mysterious Ways - Live,Nina,2023-08-11
Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),December Avenue,2023-08-11
Kung Ayaw Mo Huwag Mo,Rivermaya,2023-08-11
Rebound,Silent Sanctuary,2023-08-11
Halik,Kamikazee,2023-08-11
Ikaw At Ako,Moira Dela Torre,2023-08-11
vampire,Olivia Rodrigo,2023-08-11
Art Deco,Lana Del Rey,2023-08-11
Planet of the Bass (feat. DJ Crazy Times & Ms. Biljana Electronica),Kyle Gordon,2023-08-18
Good Lookin',Dixon Dallas,2023-08-18
Your Love,Little Mix,2023-08-18
Killin’ Me Good,Jihyo,2023-08-18
Nightmare,Jihyo,2023-08-18
Room,Jihyo,2023-08-18
Don’t Wanna Go Back (Duet with Heize),Jihyo,2023-08-18
Wishing On You,Jihyo,2023-08-18
Closer,Jihyo,2023-08-18
Talkin’ About It (Feat. 24kGoldn),Jihyo,2023-08-18
The Great Escape,Boys Like Girls,2023-08-18
Tokyo Love Hotel,Rina Sawayama,2023-08-18
Baby I,Ariana Grande,2023-08-25
Daydreamin',Ariana Grande,2023-08-25
The Way,Ariana Grande,2023-08-25
Honeymoon Avenue - Live from London,Ariana Grande,2023-08-25
The Way - Live from London (feat. Mac Miller),Ariana Grande,2023-08-25
Right There - Live from London (feat. Big Sean),Ariana Grande,2023-08-25
Tattooed Heart - Live from London,Ariana Grande,2023-08-25
Baby I - Live from London,Ariana Grande,2023-08-25
Daydreamin' - Live from London,Ariana Grande,2023-08-25
Christmases When You Were Mine,Taylor Swift,2023-08-25
Single Soon,Selena Gomez,2023-08-25
My Everything,Ariana Grande,2023-08-25
Hands on Me,Ariana Grande,2023-08-25
Just a Little Bit of Your Heart,Ariana Grande,2023-08-25
Be My Baby,Ariana Grande,2023-08-25
Best Mistake,Ariana Grande,2023-08-25
Why Try,Ariana Grande,2023-08-25
Better Left Unsaid,Ariana Grande,2023-08-25
You’ll Never Know,Ariana Grande,2023-08-25
Piano,Ariana Grande,2023-08-25
Lovin' It,Ariana Grande,2023-08-25
9 and Three Quarters (Run Away),TOMORROW X TOGETHER,2023-08-25
Never Grow Up,CG5,2023-09-01
I'ma Walk Right In,CG5,2023-09-01
Cardboard Box,FLO,2023-09-01
Put Your Hearts Up,Ariana Grande,2023-09-01
All Star,Smash Mouth,2023-09-01
Things We Lost in the Fire,Bastille,2023-09-01
Show Yourself,CG5,2023-09-01
Juicy,Doja Cat,2023-09-08
Bongos (feat. Megan Thee Stallion),Cardi B,2023-09-08
ballad of a homeschooled girl,Olivia Rodrigo,2023-09-08
Like Taylor Swift,Everleigh Rose,2023-09-08
all-american bitch,Olivia Rodrigo,2023-09-08
teenage dream,Olivia Rodrigo,2023-09-08
pretty isn’t pretty,Olivia Rodrigo,2023-09-08
the grudge,Olivia Rodrigo,2023-09-08
love is embarrassing,Olivia Rodrigo,2023-09-08
get him back!,Olivia Rodrigo,2023-09-08
logical,Olivia Rodrigo,2023-09-08
making the bed,Olivia Rodrigo,2023-09-08
lacy,Olivia Rodrigo,2023-09-08
Blonde,Maisie Peters,2023-09-08
Mess It Up,Gracie Abrams,2023-09-08
If I Can't Have You,Shawn Mendes,2023-09-08
Teeth,5 Seconds of Summer,2023-09-08
Sweetest Pie,Megan Thee Stallion,2023-09-08
Scarlett,Holly Humberstone,2023-09-08
Day by day,Loossemble,2023-09-15
Strawberry soda,Loossemble,2023-09-15
Newtopia,Loossemble,2023-09-15
Colouring,Loossemble,2023-09-15
Real world,Loossemble,2023-09-15
Sensitive,Loossemble,2023-09-15
Intro: Searching for their friends,Loossemble,2023-09-15
Sensitive - English Version,Loossemble,2023-09-15
Greased Lightnin' - From “Grease”,John Travolta,2023-09-15
It's Gonna Be Me,*NSYNC,2023-09-15
Bye Bye Bye,*NSYNC,2023-09-15
Build Me up Buttercup,The Foundations,2023-09-15
Marry the Night,Lady Gaga,2023-09-15
I Want It That Way,Backstreet Boys,2023-09-15
Heartbreaker (feat. Jay-Z),Mariah Carey,2023-09-15
Sweet Child o' Mine,Guns N' Roses,2023-09-15
U Can't Touch This,MC Hammer,2023-09-15
Material Girl,Madonna,2023-09-15
Wake Me Up Before You Go-Go,Wham!,2023-09-15
Overdrive,Eraserheads,2023-09-22
Ulan,Rivermaya,2023-09-22
BYOB (bring your own best friend),Billlie,2023-09-29
Treasure,ATEEZ,2023-09-29
I Don't Need A Man,miss A,2023-09-29
Guerilla,OH MY GIRL,2023-09-29
You Calling My Name,GOT7,2023-09-29
Dancing Queen,소녀시대,2023-09-29
I Don't Care,2NE1,2023-09-29
Wolf,EXO,2023-09-29
COME BACK HOME,2NE1,2023-09-29
Hot Sauce,NCT DREAM,2023-09-29
Dance The Night - From Barbie The Album,Dua Lipa,2023-10-13
greedy,Tate McRae,2023-10-13
Crazier,Taylor Swift,2023-10-13
Cruel Summer - Live from TS | The Eras Tour,Taylor Swift,2023-10-20
Cruel Summer - LP Giobbi Remix,Taylor Swift,2023-10-20
Scientist (R3HAB Remix),TWICE,2023-10-20
Out of the Woods (Taylor's Version),Taylor Swift,2023-10-27
Style (Taylor's Version),Taylor Swift,2023-10-27
Wonderland (Taylor's Version),Taylor Swift,2023-10-27
Clean (Taylor's Version),Taylor Swift,2023-10-27
I Know Places (Taylor's Version),Taylor Swift,2023-10-27
Bad Blood (Taylor's Version),Taylor Swift,2023-10-27
Shake It Off (Taylor's Version),Taylor Swift,2023-10-27
All You Had to Do Was Stay (Taylor's Version),Taylor Swift,2023-10-27
Blank Space (Taylor's Version),Taylor Swift,2023-10-27
How You Get the Girl (Taylor's Version),Taylor Swift,2023-10-27
I Wish You Would (Taylor's Version),Taylor Swift,2023-10-27
New Romantics (Taylor's Version),Taylor Swift,2023-10-27
You Are in Love (Taylor's Version),Taylor Swift,2023-10-27
Bad Blood (feat. Kendrick Lamar) (Taylor's Version),Taylor Swift,2023-10-27
Is It Over Now? (Taylor's Version) (From the Vault),Taylor Swift,2023-10-27
Suburban Legends (Taylor's Version) (From the Vault),Taylor Swift,2023-10-27
Now That We Don't Talk (Taylor's Version) (From the Vault),Taylor Swift,2023-10-27
Say Don't Go (Taylor's Version) (From the Vault),Taylor Swift,2023-10-27
Slut! (Taylor's Version) (From the Vault),Taylor Swift,2023-10-27
Welcome to New York (Taylor's Version),Taylor Swift,2023-11-03
Feather,Sabrina Carpenter,2023-11-03
Gucci Flip Flops (feat. Lil Yachty),Bhad Bhabie,2023-11-03
Cobra,Megan Thee Stallion,2023-11-03
Say My Name,Destiny's Child,2023-11-03
We Belong Together,Mariah Carey,2023-11-03
Wannabe,Spice Girls,2023-11-03
I Have Nothing,Whitney Houston,2023-11-03
Genie in a Bottle,Christina Aguilera,2023-11-03
What a Girl Wants,Christina Aguilera,2023-11-03
How Will I Know,Whitney Houston,2023-11-03
Lucky,Britney Spears,2023-11-03
Breakaway,Kelly Clarkson,2023-11-03
Dance Dance,DAY6,2023-11-03
Hot N Cold - Rock Version,Katy Perry,2023-11-03
Five Nights at Freddy's,The Newton Brothers,2023-11-10
Houdini,Dua Lipa,2023-11-10
Savage,aespa,2023-11-10
Jealous - Remix,Nick Jonas,2023-11-10
Nice to meet you (feat. Central Cee),PinkPantheress,2023-11-17
Talking in Your Sleep,The Romantics,2023-11-17
Five Nights at Freddy's,The Living Tombstone,2023-11-17
I Don't Care,The Ransom Collective,2023-11-17
Kakaibabe,Donnalyn,2023-11-17
YMCA,Village People,2023-11-17
2 MINUS 1 (Bonus Track),Seventeen,2023-11-17
Love on Top,Beyoncé,2023-11-17
Pretty Girls,Britney Spears,2023-11-17
Glad You Came,The Wanted,2023-11-17
OMG (feat. will.i.am),Usher,2023-11-17
She Will Be Loved - Radio Mix,Maroon 5,2023-11-17
I Know What You Did Last Summer,Shawn Mendes,2023-11-17
The Night Is Still Young,Nicki Minaj,2023-11-17
It Will Rain,Bruno Mars,2023-11-17
Stressed Out,twenty one pilots,2023-11-17
Buttons,The Pussycat Dolls,2023-11-17
Moves Like Jagger,Maroon 5,2023-11-17
Scared to Be Lonely,Martin Garrix,2023-11-17
The Climb,Miley Cyrus,2023-11-17
Steal My Girl,One Direction,2023-11-17
Starships,Nicki Minaj,2023-11-17
Just Dance,Lady Gaga,2023-11-17
Love the Way You Lie,Eminem,2023-11-17
Won't Go Home Without You,Maroon 5,2023-11-17
Sweet Crazy Love (Eng Ver.),ODD EYE CIRCLE (ARTMS),2023-11-24
Chill Kill,Red Velvet,2023-11-24
Behind These Hazel Eyes,Kelly Clarkson,2023-11-24
Knock Knock (Who's There?),Red Velvet,2023-11-24
Scenery,Red Velvet,2023-11-24
Wings,Red Velvet,2023-11-24
Bulldozer,Red Velvet,2023-11-24
One Kiss,Red Velvet,2023-11-24
Iced Coffee,Red Velvet,2023-11-24
Nightmare,Red Velvet,2023-11-24
Will I Ever See You Again?,Red Velvet,2023-11-24
Underwater,Red Velvet,2023-11-24
Sweet Crazy Love (Eng ver.),ODD EYE CIRCLE,2023-11-24
Walk Away,Kelly Clarkson,2023-11-24
Where Is Your Heart,Kelly Clarkson,2023-11-24
Addicted,Kelly Clarkson,2023-11-24
Gone,Kelly Clarkson,2023-11-24
You’re Losing Me (From the Vault),Taylor Swift,2023-12-01
The Carol 3.0,Artms,2023-12-01
Soñar (Breaker),NMIXX,2023-12-08
FEARLESS (2023 ver.),LE SSERAFIM,2023-12-08
Make Your Own Kind of Music,Cass Elliot,2023-12-15
Talking In Your Sleep (2023 Remaster),The Romantics,2023-12-15
Wake Me Up When September Ends,Green Day,2023-12-15
Welcome to the Black Parade,My Chemical Romance,2023-12-15
Nothing's Gonna Stop Us Now,Starship,2023-12-15
Lips of an Angel,Hinder,2023-12-15
Promiscuous,Nelly Furtado,2023-12-15
My Life Would Suck Without You,Kelly Clarkson,2023-12-22
21 Guns,Green Day,2023-12-22
This Love,Maroon 5,2023-12-22
I Don't Want to Miss a Thing - From Armageddon Soundtrack,Aerosmith,2023-12-22
You Spin Me Round (Like a Record),Dead or Alive,2023-12-22
Believe,Cher,2023-12-22
Build Me Up Buttercup (mono),The Foundations,2023-12-22
Here Comes the Sun - Remastered 2009,The Beatles,2023-12-22
It's All Coming Back to Me Now,Céline Dion,2023-12-22
Touch My Body,Mariah Carey,2023-12-22
Hey Jude - Remastered 2015,The Beatles,2023-12-22
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,2023-12-22
Last Christmas,Wham!,2023-12-22
It's the Most Wonderful Time of the Year,Andy Williams,2023-12-22
O Holy Night,Pentatonix,2023-12-22
Angels We Have Heard on High,Pentatonix,2023-12-22
Last Christmas,Taylor Swift,2023-12-22
Carol of the Bells,Pentatonix,2023-12-22
Dancing Queen,ABBA,2023-12-22
Big Girls Don't Cry (Personal),Fergie,2023-12-22
Zombie,The Cranberries,2023-12-22
American Idiot,Green Day,2023-12-22
Take on Me,a-ha,2023-12-22
Everybody Wants to Rule the World,Tears for Fears,2023-12-22
Baddie,IVE,2023-12-29
I Want You Back - Radio Edit,*NSYNC,2023-12-29
Basket Case,Green Day,2024-01-05
Teenagers,My Chemical Romance,2024-01-05
Holiday / Boulevard of Broken Dreams,Green Day,2024-01-05
Dead!,My Chemical Romance,2024-01-05
I Don't Love You,My Chemical Romance,2024-01-05
Famous Last Words,My Chemical Romance,2024-01-05
Look Ma No Brains!,Green Day,2024-01-05
The American Dream Is Killing Me,Green Day,2024-01-05
Dilemma,Green Day,2024-01-05
One Eyed Bastard,Green Day,2024-01-05
Helena,My Chemical Romance,2024-01-05
The Ghost of You,My Chemical Romance,2024-01-05
I'm Not Okay (I Promise),My Chemical Romance,2024-01-05
Bon Appétit,Katy Perry,2024-01-05
Chained to the Rhythm,Katy Perry,2024-01-05
Don't Cha,The Pussycat Dolls,2024-01-05
When I Come Around,Green Day,2024-01-12
Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,2024-01-12
Know Your Enemy,Green Day,2024-01-12
Blood - Hidden Track,My Chemical Romance,2024-01-12
Mama,My Chemical Romance,2024-01-12
She,Green Day,2024-01-12
Sleep,My Chemical Romance,2024-01-12
Hitchin' a Ride,Green Day,2024-01-12
Good Riddance (Time of Your Life),Green Day,2024-01-12
Are We the Waiting / St. Jimmy,Green Day,2024-01-12
Give Me Novacaine / She's a Rebel,Green Day,2024-01-12
Platypus (I Hate You),Green Day,2024-01-12
Bang Bang,Green Day,2024-01-12
Kill the DJ,Green Day,2024-01-12
You Know What They Do to Guys Like Us in Prison,My Chemical Romance,2024-01-12
Let Yourself Go,Green Day,2024-01-12
Welcome to Paradise,Green Day,2024-01-12
SING,My Chemical Romance,2024-01-12
Planetary (GO!),My Chemical Romance,2024-01-12
Every Snowflake Is Different (Just Like You),My Chemical Romance,2024-01-12
yes and?,Ariana Grande,2024-01-12
Redundant,Green Day,2024-01-12
Nice Guys Finish Last,Green Day,2024-01-12
Walking Contradiction,Green Day,2024-01-19
1981,Green Day,2024-01-19
Coma City,Green Day,2024-01-19
Bobby Sox,Green Day,2024-01-19
Saviors,Green Day,2024-01-19
Father to a Son,Green Day,2024-01-19
Living in the '20s,Green Day,2024-01-19
Corvette Summer,Green Day,2024-01-19
